"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2017","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",191000,227
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2018","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",190000,216
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2018","Maisons avec 4 ou plus de façades (type ouvert)",,2
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2018","Appartements",165000,100
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2018","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",190000,218
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2019","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",219950,235
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2019","Maisons avec 4 ou plus de façades (type ouvert)",,9
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2019","Appartements",168500,103
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2019","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",220000,244
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2020","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2020","Maisons avec 4 ou plus de façades (type ouvert)",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2020","Appartements",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2020","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",,
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2010","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",230000,57
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2010","Maisons avec 4 ou plus de façades (type ouvert)",,3
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2010","Appartements",133500,62
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2010","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",230000,60
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2011","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",250000,57
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2011","Maisons avec 4 ou plus de façades (type ouvert)",,7
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2011","Appartements",145000,65
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",250000,64
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",240000,47
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2012","Maisons avec 4 ou plus de façades (type ouvert)",,5
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2012","Appartements",145000,67
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",245000,52
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",238000,53
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2013","Maisons avec 4 ou plus de façades (type ouvert)",,1
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2013","Appartements",160000,46
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",239000,54
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",249000,50
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2014","Maisons avec 4 ou plus de façades (type ouvert)",,11
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2014","Appartements",160000,86
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",260000,61
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",225000,53
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2015","Maisons avec 4 ou plus de façades (type ouvert)",,5
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2015","Appartements",160000,52
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",240000,58
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",240000,36
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2016","Maisons avec 4 ou plus de façades (type ouvert)",,5
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2016","Appartements",164500,76
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",255000,41
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",287000,54
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2017","Maisons avec 4 ou plus de façades (type ouvert)",,7
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Borsbeek","2017","Appartements",162500,60
